phase,iteration,kind,wall_ms,gpu_ms,driver_ms,checksum
0,0,slabs,696.287000,0.013167,695.189625,362192065536
0,1,small,0.377000,0.010750,0.168708,103483447296
0,2,slabs,224.870000,0.012792,224.003500,500169995264
0,3,small,0.266000,0.010750,0.071833,103483447296
0,4,slabs,0.241000,0.007541,0.070750,362192065536
0,5,small,0.237000,0.006583,0.055375,103483447296
0,6,slabs,0.221000,0.005959,0.060792,500169995264
0,7,small,0.197000,0.006333,0.052209,103483447296
0,8,slabs,0.207000,0.005708,0.054333,362192065536
0,9,small,0.198000,0.006333,0.053625,103483447296
0,10,slabs,0.194000,0.005959,0.055292,500169995264
0,11,small,0.195000,0.006083,0.045375,103483447296
0,12,slabs,0.191000,0.006000,0.048625,362192065536
0,13,small,0.191000,0.006208,0.046750,103483447296
0,14,slabs,0.193000,0.006250,0.050208,500169995264
0,15,small,0.171000,0.006125,0.028750,103483447296
0,16,slabs,0.167000,0.005750,0.028125,362192065536
0,17,small,0.165000,0.006167,0.027083,103483447296
0,18,slabs,0.276000,0.005917,0.023875,500169995264
0,19,small,0.172000,0.006167,0.025500,103483447296
0,20,slabs,0.182000,0.005667,0.032375,362192065536
0,21,small,0.167000,0.006125,0.027042,103483447296
0,22,slabs,0.170000,0.005625,0.027000,500169995264
0,23,small,0.161000,0.006250,0.025792,103483447296
1,0,slabs,0.167000,0.005791,0.026667,362192065536
1,1,small,0.162000,0.006333,0.026167,103483447296
1,2,slabs,0.167000,0.005917,0.026917,500169995264
1,3,small,0.164000,0.006500,0.025542,103483447296
1,4,slabs,0.167000,0.005667,0.027209,362192065536
1,5,small,0.166000,0.006583,0.026292,103483447296
1,6,slabs,0.166000,0.005750,0.027583,500169995264
1,7,small,0.161000,0.006083,0.025917,103483447296
1,8,slabs,0.167000,0.005875,0.027750,362192065536
1,9,small,0.163000,0.006167,0.025833,103483447296
1,10,slabs,0.165000,0.005833,0.027208,500169995264
1,11,small,0.163000,0.006416,0.025833,103483447296
1,12,slabs,0.167000,0.005875,0.027625,362192065536
1,13,small,0.164000,0.006500,0.025875,103483447296
1,14,slabs,0.165000,0.005958,0.026584,500169995264
1,15,small,0.163000,0.006167,0.025375,103483447296
1,16,slabs,0.171000,0.005833,0.026542,362192065536
1,17,small,0.183000,0.006250,0.027833,103483447296
1,18,slabs,0.176000,0.005875,0.025125,500169995264
1,19,small,0.174000,0.006125,0.024625,103483447296
1,20,slabs,0.181000,0.005833,0.028167,362192065536
1,21,small,0.177000,0.006250,0.027625,103483447296
1,22,slabs,0.180000,0.005875,0.028084,500169995264
1,23,small,0.176000,0.006583,0.027083,103483447296
2,0,slabs,0.179000,0.005875,0.027875,362192065536
2,1,small,0.186000,0.006375,0.025875,103483447296
2,2,slabs,0.181000,0.005875,0.028042,500169995264
2,3,small,0.173000,0.006500,0.026250,103483447296
2,4,slabs,0.179000,0.006125,0.028292,362192065536
2,5,small,0.172000,0.006125,0.025125,103483447296
2,6,slabs,0.187000,0.005875,0.027500,500169995264
2,7,small,0.176000,0.006500,0.026500,103483447296
2,8,slabs,0.177000,0.005750,0.027375,362192065536
2,9,small,0.180000,0.006125,0.026667,103483447296
2,10,slabs,0.176000,0.005875,0.026583,500169995264
2,11,small,0.172000,0.006125,0.025125,103483447296
2,12,slabs,0.181000,0.005792,0.027625,362192065536
2,13,small,0.177000,0.006209,0.026166,103483447296
2,14,slabs,0.178000,0.005833,0.027459,500169995264
2,15,small,0.175000,0.006250,0.026875,103483447296
2,16,slabs,0.183000,0.005875,0.027125,362192065536
2,17,small,0.175000,0.006000,0.027208,103483447296
2,18,slabs,0.179000,0.005792,0.027958,500169995264
2,19,small,0.172000,0.006167,0.025625,103483447296
2,20,slabs,0.182000,0.005875,0.028000,362192065536
2,21,small,0.177000,0.006250,0.027000,103483447296
2,22,slabs,0.178000,0.005875,0.027916,500169995264
2,23,small,0.178000,0.006416,0.026750,103483447296
3,0,slabs,0.174000,0.005625,0.028250,362192065536
3,1,small,0.168000,0.006000,0.026625,103483447296
3,2,slabs,0.173000,0.005709,0.027500,500169995264
3,3,small,0.168000,0.006250,0.026375,103483447296
3,4,slabs,0.171000,0.005833,0.027417,362192065536
3,5,small,0.167000,0.006208,0.027000,103483447296
3,6,slabs,0.173000,0.006250,0.027250,500169995264
3,7,small,0.206000,0.006292,0.025625,103483447296
3,8,slabs,0.175000,0.005625,0.027333,362192065536
3,9,small,0.171000,0.005875,0.026500,103483447296
3,10,slabs,0.172000,0.005875,0.027833,500169995264
3,11,small,0.172000,0.006167,0.026084,103483447296
3,12,slabs,0.173000,0.006167,0.028042,362192065536
3,13,small,0.169000,0.006125,0.026583,103483447296
3,14,slabs,0.175000,0.005959,0.027417,500169995264
3,15,small,0.169000,0.006250,0.026166,103483447296
3,16,slabs,0.176000,0.005875,0.027375,362192065536
3,17,small,0.170000,0.006250,0.026625,103483447296
3,18,slabs,0.175000,0.005875,0.027916,500169995264
3,19,small,0.172000,0.006167,0.026000,103483447296
3,20,slabs,0.176000,0.005750,0.027458,362192065536
3,21,small,0.164000,0.006000,0.024375,103483447296
3,22,slabs,0.169000,0.005875,0.026250,500169995264
3,23,small,0.194000,0.006208,0.025750,103483447296
